GDUNG001
LEVELSTART testhouse_
GMAP testhouse

WALLTILES tiles_wallshorror.png
GROUNDTILES tiles_groundhorror.png
TILES wall=0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9
TILES walln=0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0x906,0x909,0x90A,0x906,0x907,0x908,0x909,0x90A,0x916,0x919,0x91A,0x916,0x917,0x918,0x919,0x91A,0x926,0x929,0x92A,0x926,0x927,0x928,0x929,0x92A,0x936,0x937,0x93A,0x936,0x937,0x938,0x939,0x93A,0x946,0x947,0x94A,0x946,0x947,0x948,0x949,0x94A,0x956,0x957,0x95A,0x956,0x957,0x958,0x959,0x95A,0x966,0x969,0x96A,0x966,0x967,0x968,0x969,0x96A,0x8E7,0x0,0x8E6,0x8E7,0x0,0x0,0x0,0x8E6,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
TILES walle=0x0,0x0,0x999,0xB90,0xB91,0xFF9,0xFF9,0xFF9,0x0,0x0,0x9AF,0xBA0,0xBA1,0xFF9,0xFF9,0xFF9,0x0,0x8E4,0x9BF,0xBB0,0xBB1,0xFF9,0xFF9,0xFF9,0x0,0x8F4,0x9CF,0xBC0,0xBC1,0xFF9,0xFF9,0xFF9,0x0,0x0,0x9DF,0xBD0,0xBD1,0xFF9,0xFF9,0xFF9,0x0,0x0,0x9EF,0xBE0,0xBE1,0xFF9,0xFF9,0xFF9,0x0,0x8F6,0x9FF,0xBB0,0xBB1,0xFF9,0xFF9,0xFF9,0x0,0x0,0x99F,0xBC0,0xBC1,0xFF9,0xFF9,0xFF9,0x0,0x0,0x9DF,0xBD0,0xBD1,0xFF9,0xFF9,0xFF9,0x0,0x0,0x9EF,0xBE0,0xBE1,0xFF9,0xFF9,0xFF9,0x0,0x8F6,0x9FF,0xBF0,0xBF1,0xFF9,0xFF9,0xFF9
TILES walls=0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x9E7,0x9E8,0x9E9,0x9EA,0x9E7,0x9E8,0x9E9,0x9EA,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9,0xFF9
TILES wallw=0xFF9,0xFF9,0xFF9,0x990,0x991,0x998,0x0,0x0,0xFF9,0xFF9,0xFF9,0x9A0,0x9A1,0x9A2,0x0,0x0,0xFF9,0xFF9,0xFF9,0x9B0,0x9B1,0x9B2,0x8E5,0x0,0xFF9,0xFF9,0xFF9,0x9C0,0x9C1,0x9C2,0x8F5,0x0,0xFF9,0xFF9,0xFF9,0x9D0,0x9D1,0x9D2,0x0,0x0,0xFF9,0xFF9,0xFF9,0x9E0,0x9E1,0x9E2,0x0,0x0,0xFF9,0xFF9,0xFF9,0x9B0,0x9B1,0x9F2,0x8F7,0x0,0xFF9,0xFF9,0xFF9,0x9C0,0x9C1,0x992,0x0,0x0,0xFF9,0xFF9,0xFF9,0x9D0,0x9D1,0x9D2,0x0,0x0,0xFF9,0xFF9,0xFF9,0x9E0,0x9E1,0x9E2,0x0,0x0,0xFF9,0xFF9,0xFF9,0x9F0,0x9F1,0x9F2,0x8F7,0x0
TILES wallne=0x0,0x0,0x979,0x97A,0x97B,0x97C,0xFF9,0xFF9,0x0,0x0,0x989,0x98A,0x98B,0x98C,0x98D,0x98E,0x0,0x0,0x999,0x99A,0x99B,0x99C,0x99D,0x99E,0x0,0x0,0x9A9,0x9AA,0x9AB,0x9AC,0x9AD,0x9AE,0x0,0x0,0x9B9,0x9BA,0x9BB,0x9BC,0x9BD,0x9BE,0x0,0x0,0x9C9,0x9CA,0x9CB,0x9CC,0x9CD,0x9CE,0x0,0x0,0x9D9,0x9DA,0x9DB,0x9DC,0x9DD,0x9DE,0x0,0x0,0x8E8,0x8E9,0x8EA,0x9EC,0x9ED,0x9EE,0x0,0x0,0x0,0x0,0x0,0x8F8,0x8F9,0x8FA,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x8E6,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
